video_path,text,vq_score,t2v_score,pc_score,ratio801_seed123_split_00
videos_27k_1/004625_i.mp4,"A student writing equations on a whiteboard, with the words 'Solve the Puzzle' appearing as the formula is completed",3,1,3,test
videos_27k_1/000622_c.mp4,"A woman ties a red ribbon around a gift box, carefully wraps it in shiny paper, and then smiles as she hands it to her friend",3,2,3,train
videos_27k_1/004543_z.mp4,"Two young men are driving on a sunny day, enjoying a lively conversation. The driver, wearing a striped sweater, holds the steering wheel, while the passenger in a grey sweater sits beside him. Both are smiling and laughing, clearly enjoying each other's company. The car moves smoothly through a suburban landscape with a clear blue sky and distant buildings. The camera captures their interaction from the front, focusing on their joyful expressions as the scenery passes by",3,3,2,train
videos_27k_1/003956_a.mp4,"A firefighter rushes to rescue people in a burning house. Nearby, there are fire trucks, an ambulance, and other firefighters extinguishing the fire",3,3,3,train
videos_27k_1/001468_m.mp4,"A circle divided into three parts: the head for the mind, the heart for the spirit, and a human figure for the body",3,2,5,train
videos_27k_1/003881_u.mp4,"The mountains are lush with vegetation, and the flowing water winds through the landscape, creating an incredibly beautiful natural scene. Pan right",3,5,4,train
videos_27k_1/004983_f.mp4,"An elderly man with curly white hair and glasses stands in a cozy, well-lit room. He holds an open book to his ear, listening intently, while gesturing expressively with his left hand. Wearing a light blue shirt and black pants, he engages in conversation, surrounded by books and a homely atmosphere",3,3,3,test
videos_27k_1/001552_t.mp4,"A young woman in a gray t-shirt with 'UNIVERSITY OF' written on it stands in a bathroom, gesturing with her hands as she talks. Her expressions and hand movements suggest she is explaining something with emphasis. The neutral-colored bathroom and shower curtain are visible in the background. The camera, positioned slightly above eye level, focuses on her upper body and face as she dynamically communicates",4,4,3,train
videos_27k_1/003747_b.mp4,"Kofi approaches the rock cautiously and sees a huge elephant standing next to it. The elephant has gray skin, long tusks, and wise eyes. It looks at Kofi with curiosity and kindness",3,2,4,test
videos_27k_1/004937_f.mp4,"A joyful, energetic squirrel jumps from a power supply to a dense, green forest. In the background, a calm turtle walks along a forest path, surrounded by blooming flowers and tall trees",4,4,3,test
videos_27k_1/001105_k.mp4,"Generate a video showing nature and the city, such as a river with flowers along its banks and urban buildings in the background",1,1,2,train
videos_27k_1/002360_p.mp4,"Zeus unleashing his fury in the form of a thunderstorm, wielding a lightning bolt with his muscular arms, surrounded by swirling white marble clouds and brooding storm clouds",3,4,3,train
videos_27k_1/004033_z.mp4,"A young man with short, wavy brown hair and a black t-shirt featuring a white geometric design speaks to the camera in a well-lit, industrial-style room. He uses expressive hand gestures, sometimes pointing or moving his hands as he talks. The background is filled with colorful lights, including green and blue neon, and various electronic equipment like monitors and gadgets, creating a vibrant, dynamic atmosphere. The camera stays focused on him with no noticeable movement, maintaining a medium close-up view",4,5,4,test
videos_27k_1/000748_e.mp4,"A man and a woman argue, with the man speaking loudly and emotionally. The woman slaps the man on the cheek, but she has a hoof instead of a palm. Cyberpunk setting, high resolution, cinematic lighting",4,4,3,train
videos_27k_1/003531_a.mp4,"A musician taps their feet to the rhythm, plays a lively tune on a grand piano, and then claps their hands in excitement",3,3,2,train
videos_27k_1/001539_d.mp4,Sunset beach with a golden sky and the soothing sound of waves hitting the shore. Flowing water on the sandy beach. Crane up,2,3,4,train
videos_27k_1/000242_m.mp4,"A woman stands in a well-lit garage, wearing a black hoodie with a blue and white logo, black gloves, and a tattoo on her left arm. She holds a metal rod with both hands, adjusting her grip and gesturing with her hands as she demonstrates or explains something. The background features a blue car and various automotive tools, setting the scene in a workshop. The camera captures her upper body and the stationary background in a medium close-up shot",2,1,2,test
videos_27k_1/004597_y.mp4,"The little girl stands on the track, ready for a running race. The atmosphere is tense and exciting as all the other children compete at the starting line. The cheers of the spectators echo through the stadium as the little girl takes a deep breath and focuses her energy for the sprint",4,4,4,train
videos_27k_1/000880_c.mp4,Poker cards and casino chips falling on a black stained wooden table. Night atmosphere. Luxury style with marked backlights. Average plane inclined 90 degrees,3,3,3,train
videos_27k_1/004750_z.mp4,"Cinematic long shot of a beautiful brunette woman with long hair and Creole skin, walking on a windy beach at sunset. She is dressed in a white dress, which is blown by the wind. Pan right",2,3,2,train
videos_27k_1/004802_y.mp4,"In the forest, a guy in a blue jean jacket is lying on the ground, then a woman in a medieval dress comes running to him",4,4,4,train
videos_27k_1/000708_r.mp4,"A landscape of an evening city lit by lights appears on the screen. The camera slowly approaches one of the buildings, then turns left to show brightly colored signs and moving traffic. Soft music plays in the background, creating the atmosphere of the city night",4,4,5,train
videos_27k_1/002271_p.mp4,"A college girl studying with a minimalistic setup by the window, wearing full clothes, sitting on an ergonomic chair, with a view of a forest and rain outside",3,5,3,train
videos_27k_1/004989_i.mp4,"A serene scene of a winding river flowing through a lush green forest. The clear water reflects the surrounding greenery, creating a tranquil atmosphere. Tall grasses and trees border the river, enhancing the vibrant natural landscape. Shot from a high vantage point, the camera captures the expansive beauty of the untouched forest. The scene is set in daylight, with bright weather, showcasing the thriving, healthy environment of spring or summer",3,4,3,train
videos_27k_1/001860_m.mp4,"Beautiful woman in white dress with black hair, standing in the woods at night under a full moon, with a castle in the background",3,2,3,train
videos_27k_1/000245_c.mp4,"Illustrate the closing scene of the story, where happiness and kindness fill the forest, with all the animals gathered together",3,2,2,test
videos_27k_1/003716_x.mp4,"A blond male AI avatar with blue eyes is walking down Hollywood Boulevard, wearing a jacket that is half white and half black, and carrying a guitar. He meets two male friends at the traffic lights in their Lamborghini, then jumps into the car with them",2,3,2,train
videos_27k_1/000649_n.mp4,"A Japanese man hugging his wife inside his traditional antique Japanese house. He is wearing a traditional blue samue, and his wife is wearing a red traditional Japanese outfit",4,5,3,train
videos_27k_1/003887_v.mp4,"Exterior shots of an eerie mansion: Start with footage of the creepy, dilapidated mansion standing atop the hill, setting the scene for the haunting tale. Pan right",4,4,4,train
videos_27k_1/003056_f.mp4,"A swimmer dives into a pool, with 'Swim Lessons for All Ages: Improve Technique, Speed, and Stamina This Summer' displayed on the poolside",4,2,3,train
videos_27k_1/000244_m.mp4,"A playful puppy dashes in a circle, halts to sniff the ground, then spins excitedly while chasing its own tail",3,2,4,train
videos_27k_1/004089_u.mp4,"Create a dynamic AI scene where I am skateboarding in a vibrant urban setting. Capture the essence of street skating with tricks, flips, and smooth movements. The backdrop should include busy city streets with pedestrians and cars in the background, and the weather is sunny with clear skies. Make the overall atmosphere energetic and exciting",2,4,3,train
videos_27k_1/003009_g.mp4,"A musician is playing a guitar, and a sheet of music on a stand says 'Guitar Solo, Sweet Child O' Mine, Sheet Music for Beginners'",4,3,4,test
videos_27k_1/000735_e.mp4,A parrot picks up a white blank card with its beak from a lot and shows it to the camera. The card is in focus. Zoom in,3,3,2,train
videos_27k_1/001809_z.mp4,"A city skyline with 'Welcome to the Future: Smart Cities with AI-driven Infrastructure' floating on the screen, as drones fly overhead and cars drive autonomously",2,3,2,test
videos_27k_1/000244_h.mp4,"A playful puppy dashes in a circle, halts to sniff the ground, then spins excitedly while chasing its own tail",2,2,2,train
videos_27k_1/003093_q.mp4,"Superbikes rally is going to start. Ten superbikes are ready for the race, standing parallel. Riders are flashing their superbikes' headlights. Cinematic shot. Night scene",3,3,1,train
videos_27k_1/000846_i.mp4,"A person carefully pours white gelatin powder from a brown paper bag into a measuring cup filled with water. The scene is set against a spooky Halloween-themed background featuring a black-and-white web pattern, enhancing the eerie atmosphere. The camera focuses closely on the action, highlighting the steady hand and precise pouring into the cup, with the dark, festive backdrop adding to the Halloween vibe",2,3,2,test
videos_27k_1/004866_f.mp4,"Two young men are playing frisbee in a lush forest clearing. One man, in a black shirt and jeans, throws a red frisbee, while the other, wearing a gray sweater and jeans, runs to catch it. The scene is lively with dynamic movement, set against a backdrop of green trees and dry grass, under a partly cloudy sky. The playful competition takes place in a natural outdoor setting, with both men positioned in the center of the frame",3,3,2,train
videos_27k_1/002610_c.mp4,The Little Prince and the Fox gaze at the moon from behind. The Little Prince has wings on his back. The camera slowly zooms out to reveal the vastness of the universe,3,2,2,train
videos_27k_1/001955_d.mp4,"A young girl with a red sweater rolls down a grassy hill, laughing joyfully, and then scrambles back up, her hands brushing against the soft ground",2,3,3,train
videos_27k_1/000025_k.mp4,"Animate an image featuring a serene bridge over a river. Bring the scene to life by animating the river, simulating the flow of water along its course. Let the gentle current create natural ripples and eddies, giving the river a realistic sense of movement. Additionally, animate the plants and trees that surround the river, as they sway gently in response to a gentle breeze. This animation should capture the tranquility of the scene, with the river flowing and the foliage dancing to the rhythm of nature",1,1,1,train
videos_27k_1/001853_m.mp4,"A person, dressed in a white and black cosplay outfit with a helmet featuring large, pointed ears and a purple chest piece, is being interviewed outdoors. The modern setting, with large glass windows and metal framework, suggests a convention center or similar venue. The interviewee's hair is partially covered by the helmet, and the environment appears controlled with no visible weather conditions",2,2,2,test
videos_27k_1/004595_q.mp4,"A person stands at their doorstep, stretches their arms, and takes a deep breath, enjoying the beauty of the outdoors with a clear sky, tall trees, a flowing river, and distant mountains",2,2,2,train
videos_27k_1/003660_u.mp4,"Screen split into two parts by a line in the middle. Two women, one on the left and the other on the right, both lost in thought",3,3,3,train
videos_27k_1/004529_a.mp4,"Create a short 3D animated clip showcasing a peaceful countryside scene in Vietnam during a moonlit midnight. The scene should feature serene landscapes with traditional village houses, winding pathways, and surrounding nature bathed in the gentle glow of the moon. Capture the tranquility and beauty of the night with subtle movements like rustling leaves, calm streams, and occasional nocturnal wildlife. The moonlight should cast soft and clear illumination, adding a sense of serenity and enchantment to the entire landscape",1,2,4,test
videos_27k_1/004695_i.mp4,"a close-up of a small animated doll with large expressive eyes and a wide smile. It wears a purple floral dress and a yellow lei. The doll's articulated arms and legs move smoothly, adding life to its playful expressions. Set against a vibrant, blurred background, the doll's dynamic movements and facial changes highlight its lively character. The focus is on the doll, creating a fun and animated atmosphere",4,2,4,train
videos_27k_1/004581_f.mp4,"The window opens and a strong wind bursts into the room, lifting up the curtains, with cherry blossoms outside the window",2,3,3,train
videos_27k_1/003889_f.mp4,"Two men are having a conversation at a car show on a sunny, outdoor day. The man on the left has short blonde hair and a black shirt, while the man on the right, with short brown hair and a mustache, wears a blue '1965 AMERICAN' shirt. They stand close, facing each other, with a blue car in the background. The man on the right gestures, possibly explaining something. The event is lively, with cars and tents in the distance, suggesting a well-organized show",4,4,4,train
videos_27k_1/001167_f.mp4,Studio Ghibli style animated scene of a grassy area overlooking a lake with moving water. Clouds are slowly moving in the background,3,4,5,train
videos_27k_1/001402_b.mp4,"Create a video in anime Studio Ghibli style of a sunrise on serene Japanese rural farmland with lush green fields, a cozy homestead, mountains in the distance, and various animals like goats, llamas, chickens, and a Shiba Inu dog roaming around",2,2,2,train
videos_27k_1/004114_y.mp4,"An underwater landscape with colorful corals, algae, and fish of various sizes. The background depicts a sleeping man dreaming about the underwater world around him",5,3,5,train
videos_27k_1/004824_e.mp4,"Illustrating a vibrant forest in the fall, with trees adorned in shades of orange and red leaves. In the foreground, a cheerful, plump squirrel happily collects nuts and acorns, stuffing them into its cheeks",3,5,3,train
videos_27k_1/002750_z.mp4,"A cartoon dog with a green body, white paws, and a brown snout stands on a grassy area by the water, wearing a green hat with a gold star and a white shirt. Focused and determined, the dog holds a fishing rod and casts the line into the water, causing gentle ripples. The scene is set in a bright, colorful environment with lush foliage in the background. The camera captures the dog from a side angle as it prepares to fish",4,2,1,train
videos_27k_1/000959_n.mp4,"Moodish landscape painting of an old and dilapidated wooden cabin set in a shimmering forest next to an ominous foggy lake, illuminated by the light of a massive nova sky, hypnotic lighting, sharp focus details, dramatic atmosphere. Realistic",3,4,5,test
videos_27k_1/001829_t.mp4,"An ethereal sakura cherry blossom branch, its delicate pink blooms scattering in the wind, symbolizing the fleeting beauty of life",4,4,2,train
videos_27k_1/003710_f.mp4,"As the teacher writes on the chalkboard, a boy and girl eagerly listen and learn, their faces filled with wonder and excitement. 3D anime character. Crane up",4,3,3,train
videos_27k_1/004643_p.mp4,"A man in a blue shirt is blending a smoothie in a modern kitchen. He stands at the counter, surrounded by fruits and vegetables like strawberries, oranges, and bell peppers. Focused on his task, he holds a blender with both hands, occasionally checking the ingredients. The kitchen is clean, with white cabinets and a stainless steel oven in the background. The camera captures him from a slightly elevated angle, showing his upper body and the ingredients on the counter",3,4,2,train
videos_27k_1/001875_u.mp4,"A beautiful mother with a radiant smile playfully tossing a ball to her two children in their cozy living room. The father, hard at work on his laptop, looks on with pride and love. Crane down",3,2,3,train
videos_27k_1/004856_b.mp4,"A farmer in the field planting corn with a hoe, and the corn quickly matures. The farmer wipes off sweat and smiles",3,1,3,test
videos_27k_1/001484_h.mp4,"A young man with long, braided hair and glasses is seated indoors, wearing a denim jacket over a pink hoodie. He gestures with his hands while speaking, showing enthusiasm and confidence. The setting is a modern room with a computer monitor and a potted plant in the background. His facial expressions and hand movements emphasize his words, indicating he's engaged in a conversation or presentation. The camera remains stationary, focusing on the man in a medium close-up shot",3,3,3,train
videos_27k_1/002244_z.mp4,"A close-up view of a large, white, spherical object with a bright red dot at its center. The sphere rotates slowly, revealing different angles, while the red dot stays fixed in the center. The smooth, reflective surface contrasts against a dark, starry cosmic background with faint glowing lines and dots. The sphere is illuminated in the dim environment, with the camera providing a stationary, detailed view",4,3,4,train
videos_27k_1/003742_f.mp4,"A man is operating a small white food processor on a gray countertop. He wears a light blue shirt, beige pants, and a brown belt. Focused and with both hands on the processor, he adjusts the settings. The background is blurred, emphasizing the kitchen setting",2,4,2,test
videos_27k_1/000641_m.mp4,"Capture the beauty of a strawberry farm, from the fields of ripe berries to the hands picking them in the soft morning light. Pan left",2,2,2,train
videos_27k_1/000911_m.mp4,"A dense forest in the Himalayas, with a peaceful flow of air and branches moving. The camera should move from left to right. Crane up",2,3,2,train
videos_27k_1/002651_v.mp4,"At the end of the race, the little girl crossed the finish line gasping for breath and ecstatic. A huge smile spread across her face as the judges announced her as the winner. Her family and friends rushed to her and hugged her in celebration. The little girl held her medal aloft, radiant, like the tiny hero she was",3,3,3,train
videos_27k_1/004261_n.mp4,"In a vast fairy land, one beautiful fairy with golden bluish wings and a rose gold dress is flying on top of a lotus flower",4,3,3,train
videos_27k_1/002714_v.mp4,"A woman in a gray long-sleeve shirt holds a baby in her arms against a plain white background. The baby, dressed in a green onesie with 'YAMSTE' printed on it, looks around curiously and moves its arms. The woman smiles gently, engaging with the baby in a warm and affectionate manner. The scene is intimate, with the woman securely holding the baby, both positioned close to each other, and the background minimalistic, emphasizing the bond between them. The lighting is bright and even, highlighting the subjects in a soft, focused manner",4,5,4,train
videos_27k_1/000052_d.mp4,"A woman folds a colorful shirt neatly, places it in a wooden drawer, and then arranges the clothes by color and size in the wardrobe",3,3,2,train
videos_27k_1/000734_r.mp4,"Illustrate the fox and owl in later scenes, engaged in acts of cooperation with the other animals, like building a shelter or tending to the forest garden",5,3,5,train
videos_27k_1/004201_u.mp4,"A man stands in front of a television screen displaying the 'DNews' logo, a science and technology news channel. He wears a light-colored button-up shirt and gestures animatedly while speaking. The background features scientific equipment and a skeleton, enhancing the thematic setting. His dynamic hand movements and facial expressions suggest he's reacting to or explaining something, with occasional gestures towards the screen. The camera captures him from the waist up, keeping the focus on his interaction with the screen",3,3,4,train
videos_27k_1/000755_e.mp4,"A small gnome with black hair, white skin, and a beard, wearing red and green armor, holding a sword in hand, walking and waving on the coast of the ocean, with trees in the distance",2,4,2,test
videos_27k_1/003661_u.mp4,"A painter applies paint to a canvas, with 'Painting Class: Learn to Create Beautiful Landscapes and Abstract Art Pieces' flashing on the easel",3,3,4,train
videos_27k_1/003439_f.mp4,"A robin perches on a wooden fence, scans the surroundings with its head tilted, then suddenly flaps its wings and takes off into the clear sky",4,2,5,test
videos_27k_1/001467_h.mp4,"A man in a dark suit, white shirt, and blue tie speaks at a conference, addressing an audience. His posture and gestures show engagement in a formal presentation. The background features a solid blue backdrop with a subtle checkered pattern, emphasizing the speaker in a stage setting",3,4,3,train
videos_27k_1/001058_f.mp4,"A dog digs a hole in the dirt, uncovers a stick, and happily trots away with it in its mouth",3,4,2,train
videos_27k_1/001529_q.mp4,"A woman with long, wavy blonde hair stands in a cozy room, wearing a sleeveless top. As she speaks or reacts to something, her facial expressions shift from neutral to slightly concerned. The background features a serene setting with a waterfall picture, string lights, and a mirror. Her subtle head movements and occasional glances to the side add to the dynamic of the scene. The camera captures her upper body and face in a stationary, medium close-up shot",3,3,3,train
videos_27k_1/003057_u.mp4,"A chef skillfully tosses pizza dough in the air, expertly shapes it into a round base, and then slides it into a hot oven, ready to bake",3,2,3,test
videos_27k_1/004842_f.mp4,"A close-up shot of a person repairing a bicycle chain using a chain tool. The person's hands focus on aligning or adjusting the chain on a light green bicycle with a black chain and gears. The scene takes place in a workshop with a blue workbench and various tools in the blurred background. Bright, even lighting highlights the intricate details of the bicycle and the careful movements of the hands. The camera captures the precise action with a stationary, slightly angled view",4,4,4,train
videos_27k_1/001468_p.mp4,"A circle divided into three parts: the head for the mind, the heart for the spirit, and a human figure for the body",3,4,5,train
videos_27k_1/004615_e.mp4,"A depiction of an enlarged human skin pore. The entrance of the pore is covered with yellow oil, and the inside is filled with a bit of black dust. Afterward, a video shows white foam coming in from the side, sweeping away the oil and dust, leaving the pore clean",4,3,3,train
videos_27k_1/002794_i.mp4,"A woman in Indian attire greeting in Indian style. The camera zooms out, and the doors shut widely in front of the camera",3,3,3,train
videos_27k_1/002736_b.mp4,A Cow on the Beach Seen from Behind with Its Front Legs in the Sea and Its Hind Legs in the Sand,3,3,1,test
videos_27k_1/004845_p.mp4,"An epic crest in the style of the image, but in blue and grey colors, with the helmet replaced by a gear",3,4,4,train
videos_27k_1/003438_a.mp4,"A stunning pregnant woman with beautiful white skin and curly blond hair gracefully emerges from the sea. She is wearing a captivating dress adorned with mesmerizing sea creatures, including jellyfish. The dress is intricately crafted using sea elements, creating a unique garment that celebrates the wonders of the ocean",3,3,3,train
videos_27k_1/000686_q.mp4,"Create a heartwarming scene of a friendly Pitbull participating in a therapy dog session, bringing comfort and joy to two people as it interacts with individuals in a hospital or nursing home",3,2,3,train
videos_27k_1/000082_h.mp4,"A woman dressed in a light cassock holds an amphora with water on her shoulder, immersed in a river filling the amphora with water. She then leaves the river, walking through a garden with trees and flowers along a stone path, reaching the shore of the sea to pour the contents of the amphora while the waves hit her legs",2,3,2,train
videos_27k_1/004884_a.mp4,"A child blows up a colorful balloon, ties the knot tightly, and then releases it into the air, watching it float away",3,2,1,train
videos_27k_1/002388_n.mp4,"A woman holds a camera, captures a photo, adjusts the frame, and then flashes a bright smile at the lens",3,4,3,train
videos_27k_1/000984_u.mp4,"A mature smiling Venezuelan woman walks toward me, holding a plate of arepas. It is winter in an old Denver neighborhood",3,4,2,train
videos_27k_1/002609_d.mp4,Creating a video of the back of a crying boy with a full body and a green backdrop in the background. Pan up,1,3,3,train
videos_27k_1/002202_v.mp4,"A group of people standing in a dark room, with lights flashing and their eyes focused on the same object, as the camera pans from left to right",4,4,4,train
videos_27k_1/000404_d.mp4,"3D computer-rendered image of an ice cream cone with scoops of different flavors topped with sprinkles, cherries, and chocolate sauce. Tracking shot",2,1,2,train
videos_27k_1/003543_n.mp4,"Purnachandra, with his school bag, is returning home, his face lit up with a content smile after a playful day with friends",3,5,5,train
videos_27k_1/001056_k.mp4,"A realistic woman superhero with dark long hair and blue eyes, wearing a blue metallic suit, fights against a woman with short blond hair and a pink suit in a dark city. Zoom in",1,1,1,train
videos_27k_1/002269_p.mp4,"Scene 4: The curious adventurer introduces Mia, a young and adventurous girl who stumbles into the forest. She is captivated by its beauty and begins exploring",3,4,3,test
videos_27k_1/004103_u.mp4,"A man in a white polo shirt sits in front of a television, speaking animatedly and using hand gestures to emphasize his points. His expressions and movements suggest he's explaining something or responding to an audience. The background is minimalistic, with a plain wall and television screen behind him. The camera captures a medium close-up view of his upper body and facial expressions, focusing on his gestures and engagement",4,4,4,train
videos_27k_1/001111_z.mp4,They heard rumors that the house was haunted by the ghosts of a family who had died there in a fire many years ago,2,4,2,train
videos_27k_1/000142_m.mp4,a beautiful short blue-haired goth teenager with green eyes and dressed in black dancing to techno music in a dark room with minimalistic blinking lights,3,4,3,train
videos_27k_1/000098_k.mp4,"A young boy sits at a kitchen table, enjoying a bowl of ice cream. Focused on his treat, he occasionally glances up, his expressions shifting from concentration to slight amusement. The cozy kitchen background features a refrigerator adorned with colorful magnets. The boy, wearing a dark blue shirt with a light blue collar, holds a white bowl with a spoon. His deliberate movements and changing expressions are captured in a steady, medium close-up shot, with the kitchen setting remaining calm and static",1,1,1,train
videos_27k_1/001832_u.mp4,"A player kicks a soccer ball toward the goal, sprints after it with determination, and then slides across the grass to make a perfectly timed tackle, sending the ball away",2,2,2,train
videos_27k_1/001047_h.mp4,"Imagine an idyllic countryside estate, where rows of Juliet roses bloom in harmony with the landscape. Describe the rolling hills, the gentle rustling of leaves, and the sight of these romantic roses swaying in the gentle breeze",4,2,4,train
videos_27k_1/000838_n.mp4,A hiker reaches the mountain summit with a sign next to him reading 'The Great Outdoors Adventure: Hike the Appalachian Trail This Summer',2,3,4,train
videos_27k_1/000230_a.mp4,"A woman in a purple bikini walks confidently along a beachside bar counter, holding a large towel. A man in a plaid shirt sits at the bar, casually holding a beer and watching her as she passes. The beach is busy with people sunbathing and strolling by the calm ocean under clear skies. The camera captures the moment from a wide-angle view, focusing on the interaction between the woman walking and the man seated at the bar",2,2,3,train
videos_27k_1/000761_i.mp4,"A man pulls a suitcase through an airport, wheels it across the floor, and then opens the trunk of a car parked nearby",2,3,2,train
videos_27k_1/000805_m.mp4,Capture the scene of an ant and a caterpillar climbing a towering blade of grass as they continue their adventure,2,3,5,train
videos_27k_1/004928_e.mp4,"He sat down, his fingers resuming their dance over the holographic keys. There was work to be done, profits to be made. The machine had no time for gods or heroes, and neither did he",4,4,3,train
videos_27k_1/002688_p.mp4,"A girl lying on her back in the air above a lake, holding flying balloons in both hands, wearing a white midi-length dress, with long golden blonde hair flowing to her waist",4,2,3,train
videos_27k_1/001166_z.mp4,Ancient Indian royal city with golden forts built on the bank of a clean and calm river. The city is shining with lights. Zooming in and out,3,4,2,train
videos_27k_1/004692_y.mp4,"A dimly lit room with a solitary programmer hunched over a cluttered desk, surrounded by monitors displaying lines of code. The soft glow of the screens illuminates their determined face in 3D",5,4,5,train
videos_27k_1/004837_a.mp4,"A man starts his car, shifts it into drive, and then accelerates down the road, the engine roaring as he speeds away",3,3,3,train
videos_27k_1/001078_s.mp4,"A high school scene. Our protagonist, Alex, a seemingly ordinary teenager, rushes through the hallways, almost late for school. Anime style",4,5,5,train
videos_27k_1/004915_h.mp4,"Four elderly men from the Shaanxi region of China playing a card game at a table, with a small dog underneath, and a typical Shaanxi Guanzhong style building in the background",4,3,4,train
videos_27k_1/001198_s.mp4,"Every evening, as the sun set, Alan would run to the beach, sit in the sand, gaze at the starry sky, listen to the sounds of the sea, and imagine the adventures within the great ocean",5,4,3,train
videos_27k_1/001169_h.mp4,A fox spies a beautiful bunch of ripe grapes hanging from a vine trained along the branches of a tree,3,4,2,train
videos_27k_5/004067_j.mp4,"A chicken farm, with lots of chickens eating from the automatic chicken feeder, which is silver and orange in color",1,3,1,test
videos_27k_1/001889_u.mp4,"Two women sit by a fireplace, each holding a cardboard box with a spiral design. One has long brown hair and wears a green sweater, while the other has long red hair and a white sweater. They engage in a calm conversation, occasionally glancing at each other and the boxes. The warm, cozy atmosphere is enhanced by the soft light from the fire, creating a relaxed and intimate scene",3,4,4,train
videos_27k_1/001141_v.mp4,"A guy walks slowly on a plain highway at night, with a large red moon in the sky. The mood is centered on him as he looks toward the moon while walking. He wears a hoodie with 'STOMMY' written in purple on it",2,3,3,train
videos_27k_1/003028_g.mp4,"The illustration depicts a cozy bedroom at dawn, with soft morning light filtering through partially drawn curtains. The room exudes a serene atmosphere, with a neatly made bed, a wooden nightstand displaying a small Bible, and a cross hanging on the wall. Adam, a young man with a peaceful expression, lies asleep in bed, the subtle outlines of a church visible through the window. His phone, emitting a faint glow, rests on the nightstand, signaling the intrusion of the outside world into his tranquil space",4,4,3,train
videos_27k_1/004808_i.mp4,"A small bird lands gently on the grass, hops toward a nearby tree, pecks at the bark, and then flaps its wings to soar into the sky",3,4,3,train
videos_27k_1/003864_d.mp4,"A person in a green tank top and blue jeans stands in a minimalist room with white walls and a light-colored floor. They pose with their hands on their hips, body slightly turned to the side, and head tilted. Their posture is upright, with subtle movements as they adjust their stance. The camera remains stationary, capturing the subject from a frontal view, maintaining a steady focus throughout the video",1,3,1,train
videos_27k_1/003996_c.mp4,"A man in a dark suit, white shirt, and blue polka-dot tie speaks confidently in a studio. The blurred background features a wooden desk and decorative elements, creating a warm, orange-toned atmosphere. His facial expressions and minimal body movements convey clarity and engagement as he communicates directly with the camera",3,3,3,train
videos_27k_1/000962_u.mp4,"A man in a yellow and black motorcycle racing suit stands in a covered parking area, engaged in conversation. He wears a black helmet with a visor, gloves, and various racing gear. As he speaks, he gestures with his hands, pointing and waving. The background shows a white wall with a blue stripe and a 'RACEWAY' sign. The well-lit scene suggests daytime, with the camera capturing him from a stationary medium shot. His hands are the focus of the video, moving as he explains something, while the background remains unchanged",4,4,4,train
videos_27k_1/003495_a.mp4,Create a photorealistic beach scene. The beach is lit by faint moonlight. The beach has dark sands and a rocky landscape,2,2,2,train
videos_27k_1/004724_a.mp4,"An otherworldly landscape unfolds before us, with towering mountains that seem to touch the sky, their peaks crowned with swirling clouds of vibrant colors, like a dream painted by Andrei Platounov",4,4,4,test
videos_27k_1/003914_a.mp4,"A vertical video suitable for mobile, showing a close-up of a lit fireplace during Christmas time with a Christmas tree on the left side and gifts on the right side",4,4,4,test
